id,periode,inflasi_yoy_persen,kategori,satuan,data_source
1,2000-01,0.28,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
2,2000-02,-0.89,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
3,2000-03,-1.17,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
4,2000-04,0.07,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
5,2000-05,1.2,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
6,2000-06,2.04,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
7,2001-01,8.28,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
8,2001-02,9.14,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
9,2001-03,10.62,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
10,2001-04,10.51,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
11,2001-05,10.82,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
12,2001-06,12.11,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
13,2003-01,8.74,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
14,2003-02,7.34,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
15,2003-03,7.12,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
16,2003-04,7.54,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
17,2003-05,6.91,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
18,2003-06,6.62,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
19,2003-07,5.79,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
20,2003-08,6.38,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
21,2003-09,6.2,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
22,2003-10,6.22,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
23,2003-11,5.33,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
24,2003-12,5.06,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
25,2004-01,4.82,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
26,2004-02,4.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
27,2004-03,5.11,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
28,2004-04,5.92,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
29,2004-05,6.47,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
30,2004-06,6.83,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
31,2004-07,7.2,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
32,2004-08,6.67,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
33,2004-09,6.27,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
34,2004-10,6.22,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
35,2004-11,6.18,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
36,2004-12,6.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
37,2005-01,7.32,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
38,2005-02,7.15,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
39,2005-03,8.81,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
40,2005-04,8.12,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
41,2005-05,7.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
42,2005-06,7.42,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
43,2005-07,7.84,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
44,2005-08,8.34,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
45,2005-09,9.06,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
46,2005-10,17.89,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
47,2005-11,18.38,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
48,2005-12,17.11,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
49,2006-01,17.03,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
50,2006-02,17.92,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
51,2006-03,15.74,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
52,2006-04,15.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
53,2006-05,15.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
54,2006-06,15.53,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
55,2006-07,15.15,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
56,2006-08,14.9,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
57,2006-09,14.55,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
58,2006-10,6.29,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
59,2006-11,5.27,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
60,2006-12,6.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
61,2007-01,6.26,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
62,2007-02,6.3,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
63,2007-03,6.52,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
64,2007-04,6.3,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
65,2007-05,6.01,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
66,2007-06,5.78,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
67,2007-07,6.06,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
68,2007-08,6.51,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
69,2007-09,6.95,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
70,2007-10,6.88,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
71,2007-11,6.71,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
72,2007-12,6.59,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
73,2008-01,7.36,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
74,2008-02,7.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
75,2008-03,8.17,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
76,2008-04,8.96,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
77,2008-05,10.38,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
78,2008-06,11.03,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
79,2008-07,11.9,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
80,2008-08,11.85,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
81,2008-09,12.14,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
82,2008-10,11.77,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
83,2008-11,11.68,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
84,2008-12,11.06,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
85,2009-01,9.17,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2026.aspx
86,2009-02,8.6,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0211.aspx
87,2009-03,7.92,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0311.aspx
88,2009-04,7.31,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0311.aspx
89,2009-05,6.04,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0511.aspx
90,2009-06,3.65,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0611.aspx
91,2009-07,2.71,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0711.aspx
92,2009-08,2.75,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0811.aspx
93,2009-09,2.83,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0911.aspx
94,2009-10,2.57,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1011.aspx
95,2009-11,2.41,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1111.aspx
96,2009-12,2.78,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1211.aspx
97,2010-01,3.72,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
98,2010-02,3.81,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
99,2010-03,3.43,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
100,2010-04,3.91,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
101,2010-05,4.16,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
102,2010-06,5.05,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
103,2010-07,6.22,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
104,2010-08,6.44,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
105,2010-09,5.8,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
106,2010-10,5.67,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
107,2010-11,6.33,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
108,2010-12,6.96,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
109,2011-01,7.02,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
110,2011-02,6.84,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
111,2011-03,6.65,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
112,2011-04,6.16,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
113,2011-05,5.98,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
114,2011-06,5.54,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
115,2011-07,4.61,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
116,2011-08,4.79,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
117,2011-09,4.61,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
118,2011-10,4.42,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
119,2011-11,4.15,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
120,2011-12,3.79,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
121,2012-01,3.65,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
122,2012-02,3.56,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
123,2012-03,3.97,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
124,2012-04,4.5,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
125,2012-05,4.45,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
126,2012-06,4.53,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
127,2012-07,4.56,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
128,2012-08,4.58,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
129,2012-09,4.31,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
130,2012-10,4.61,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
131,2012-11,4.32,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
132,2012-12,4.3,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
133,2013-01,4.57,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
134,2013-02,5.31,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
135,2013-03,5.9,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
136,2013-04,5.57,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
137,2013-05,5.47,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
138,2013-06,5.9,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
139,2013-07,8.61,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
140,2013-08,8.79,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
141,2013-09,8.4,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
142,2013-10,8.32,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
143,2013-11,8.37,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
144,2013-12,8.38,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
145,2014-01,8.22,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
146,2014-02,7.75,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
147,2014-03,7.32,Umum,persen,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
