no,nama_ramah,tabel_db,url,judul_resmi_tabel,status,rows,cols,var_id_from_url,var_id_bps,variabel_bps,target_year_from_title,selected_th_id,selected_th_year,selected_th_reason,title_score,csv_file,json_file,warning,error
1,Pertumbuhan Ekonomi,usecase_ekonomi.ekonomi_pertumbuhan_ekonomi_kuartal,https://www.bps.go.id/id/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran--milyar-rupiah-.html,"[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah), 2026",OK,32,6,1956,1956,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran,2026,126,2026,match_target_year,1.0,data\raw\groupA\1_ekonomi_pertumbuhan_ekonomi_kuartal.csv,data\raw\groupA\1_ekonomi_pertumbuhan_ekonomi_kuartal.json,,
12,Inflasi Daerah,usecase_ekonomi.ekonomi_inflasi_provinsi_ranking,https://www.bps.go.id/id/statistics-table/2/MjI2MyMy/inflasi-year-on-year--desember-2025.html,"Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100) (Persen), 2026",OK,39,14,2263,2263,Inflasi Tahunan (Y-on-Y) 38 Provinsi (2022=100),2026,126,2026,match_target_year,1.0,data\raw\groupA\12_ekonomi_inflasi_provinsi_ranking.csv,data\raw\groupA\12_ekonomi_inflasi_provinsi_ranking.json,,
17,Kontribusi PDB,usecase_ekonomi.ekonomi_kontribusi_investasi_pdb_kuartal,https://www.bps.go.id/assets/statistics-table/2/MTk1NiMy/-seri-2010--2--pdb-triwulanan-atas-dasar-harga-konstan-menurut-pengeluaran.html,"[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran (Milyar Rupiah), 2026",OK,32,6,1956,1956,[Seri 2010] 2. PDB Triwulanan Atas Dasar Harga Konstan menurut Pengeluaran,2026,126,2026,match_target_year,1.0,data\raw\groupA\17_ekonomi_kontribusi_investasi_pdb_kuartal.csv,data\raw\groupA\17_ekonomi_kontribusi_investasi_pdb_kuartal.json,,
30,Jumlah Angkatan Kerja,usecase_ekonomi.ekonomi_jumlah_angkatan_kerja,https://www.bps.go.id/id/statistics-table/2/MjM5NCMy/angkatan-kerja-ak-menurut-provinsi.html,"Angkatan Kerja (AK) menurut Provinsi (Orang), 2025",OK,39,9,2394,2394,Angkatan Kerja (AK) menurut Provinsi,2025,125,2025,match_target_year,1.0,data\raw\groupA\30_ekonomi_jumlah_angkatan_kerja.csv,data\raw\groupA\30_ekonomi_jumlah_angkatan_kerja.json,,
32,Penduduk Bekerja,usecase_ekonomi.ekonomi_penduduk_bekerja,https://www.bps.go.id/id/statistics-table/2/MTk1MyMy/jumlah-dan-persentase-penduduk-bekerja-dan-pengangguran.html,"Jumlah dan Persentase Penduduk Bekerja dan Pengangguran, 2026",OK,2,7,1953,1953,Jumlah dan Persentase Penduduk Bekerja dan Pengangguran,2026,126,2026,match_target_year,1.0,data\raw\groupA\32_ekonomi_penduduk_bekerja.csv,data\raw\groupA\32_ekonomi_penduduk_bekerja.json,,
33,Tingkat Partisipasi,usecase_ekonomi.ekonomi_tingkat_partisipasi_angkatan_kerja,https://www.bps.go.id/id/statistics-table/2/MjM5NiMy/persentase-angkatan-kerja-terhadap-penduduk-usia-kerja--tpak--menurut-provinsi--persen-.html,"Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi (Persen), 2025",OK,39,3,2396,2396,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) menurut Provinsi,2025,125,2025,match_target_year,1.0,data\raw\groupA\33_ekonomi_tingkat_partisipasi_angkatan_kerja.csv,data\raw\groupA\33_ekonomi_tingkat_partisipasi_angkatan_kerja.json,,
34,Tingkat Pengangguran,usecase_ekonomi.ekonomi_tingkat_pengangguran,https://www.bps.go.id/id/statistics-table/2/NTQzIzI%3D/tingkat-pengangguran-terbuka--agustus-2025.html,"Tingkat Pengangguran Terbuka Menurut Provinsi (Persen), 2026",GAGAL,,,,,,,,,,,,,,ValueError: Gagal decode kode BPS 'NTQzIzI%3D' dari URL: https://www.bps.go.id/id/statistics-table/2/NTQzIzI%3D/tingkat-pengangguran-terbuka--agustus-2025.html
36,TPT By Province,usecase_ekonomi.ekonomi_tpt_by_province,https://www.bps.go.id/id/statistics-table/2/NTQzIzI=/tingkat-pengangguran-terbuka--agustus-2025.html,"Tingkat Pengangguran Terbuka Menurut Provinsi (Persen), 2026",OK,39,4,543,543,Tingkat Pengangguran Terbuka Menurut Provinsi,2026,126,2026,match_target_year,1.0,data\raw\groupA\36_ekonomi_tpt_by_province.csv,data\raw\groupA\36_ekonomi_tpt_by_province.json,,
43,Wisatawan Mancanegara,usecase_ekonomi.ekonomi_wisatawan_mancanegara,https://www.bps.go.id/id/statistics-table/2/MTQ3MCMy/kunjungan-wisatawan-mancanegara-per-bulan-menurut-kebangsaan--kunjungan-.html,"Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan), 2026",OK,248,14,1470,1470,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang ,2026,126,2026,match_target_year,1.0,data\raw\groupA\43_ekonomi_wisatawan_mancanegara.csv,data\raw\groupA\43_ekonomi_wisatawan_mancanegara.json,,
44,Wisatawan Mancanegara Asal,usecase_ekonomi.ekonomi_wisatawan_mancanegara_asal_negara,https://www.bps.go.id/id/statistics-table/2/MTQ3MCMy/kunjungan-wisatawan-mancanegara-per-bulan-menurut-kebangsaan--kunjungan-.html,"Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan), 2026",OK,248,14,1470,1470,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang ,2026,126,2026,match_target_year,1.0,data\raw\groupA\44_ekonomi_wisatawan_mancanegara_asal_negara.csv,data\raw\groupA\44_ekonomi_wisatawan_mancanegara_asal_negara.json,,
46,Wisatawan Mancanegara Entry Points,usecase_ekonomi.ekonomi_wisatawan_mancanegara_entry_points,https://www.bps.go.id/id/statistics-table/2/MTAxNyMy/jumlah-kedatangan-wisatawan-mancanegara-ke-indonesia-menurut-pintu-masuk--orang-.html,"Jumlah Kedatangan Wisatawan Mancanegara ke Indonesia Menurut Pintu Masuk (Orang), 2025",OK,6,2,1017,1017,Jumlah Kedatangan Wisatawan Mancanegara ke Indonesia Menurut Pintu Masuk,2025,125,2025,match_target_year,1.0,data\raw\groupA\46_ekonomi_wisatawan_mancanegara_entry_points.csv,data\raw\groupA\46_ekonomi_wisatawan_mancanegara_entry_points.json,,
47,Wisatawan Nusantara,usecase_ekonomi.ekonomi_wisatawan_nusantara,https://www.bps.go.id/id/statistics-table/2/MjIwMSMy/jumlah-perjalanan-wisatawan-nusantara-menurut-provinsi-tujuan--perjalanan-.html,"Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan), 2026",OK,39,14,2201,2201,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan,2026,126,2026,match_target_year,1.0,data\raw\groupA\47_ekonomi_wisatawan_nusantara.csv,data\raw\groupA\47_ekonomi_wisatawan_nusantara.json,,
